9, -126, 15
0, 60, -126, 12
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 59, -126, 15
0, 60, -126, 12
0, 59, -126, 15
0, 60, -126, 12
0, 58, -125, 18
0, 59, -126, 15
0, 57, -125, 21
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 57, -125, 21
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 60, -126, 12
0, 60, -126, 12
0, 59, -126, 15
0, 59, -126, 15
0, 61, -126, 9
0, 59, -126, 15
0, 59, -126, 15
0, 60, -126, 12
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 61, -126, 9
0, 58, -125, 18
0, 59, -126, 15
0, 60, -126, 12
0, 60, -126, 12
0, 58, -125, 18
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 58, -125, 18
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 59, -126, 15
0, 58, -125, 18
0, 59, -126, 15
0, 61, -126, 9
0, 59, -126, 15
0, 57, -125, 21
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 60, -126, 12
0, 59, -126, 15
0, 57, -125, 21
0, 59, -126, 15
0, 58, -125, 18
0, 59, -126, 15
0, 59, -126, 15
0, 60, -126, 12
0, 61, -126, 9
0, 59, -126, 15
0, 59, -126, 15
0, 60, -126, 12
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 60, -126, 12
0, 59, -126, 15
0, 60, -126, 12
0, 58, -125, 18
0, 58, -125, 18
0, 57, -125, 21
0, 60, -126, 12
0, 57, -125, 21
0, 58, -125, 18
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 60, -126, 12
0, 60, -126, 12
0, 59, -126, 15
0, 60, -126, 12
0, 59, -126, 15
0, 60, -126, 12
0, 58, -125, 18
0, 60, -126, 12
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 61, -126, 9
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 60, -126, 12
0, 58, -125, 18
0, 58, -125, 18
0, 59, -126, 15
0, 60, -126, 12
0, 59, -126, 15
0, 60, -126, 12
0, 59, -126, 15
0, 61, -126, 9
0, 59, -126, 15
0, 58, -125, 18
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 58, -125, 18
0, 58, -125, 18
0, 61, -126, 9
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 61, -126, 9
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 60, -126, 12
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 57, -125, 21
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 58, -125, 18
0, 60, -126, 12
0, 60, -126, 12
0, 60, -126, 12
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 60, -126, 12
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 60, -126, 12
0, 59, -126, 15
0, 60, -126, 12
0, 58, -125, 18
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 59, -126, 15
0, 59, -126, 15
0, 60, -126, 12
0, 57, -125, 21
0, 56, -124, 24
0, 59, -126, 15
0, 59, -126, 15
0, 60, -126, 12
0, 59, -126, 15
0, 61, -126, 9
0, 57, -125, 21
0, 60, -126, 12
0, 61, -126, 9
0, 59, -126, 15
0, 60, -126, 12
0, 60, -126, 12
0, 58, -125, 18
0, 60, -126, 12
0, 59, -126, 15
0, 60, -126, 12
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 60, -126, 12
0, 59, -126, 15
0, 58, -125, 18
0, 58, -125, 18
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 59, -126, 15
0, 58, -125, 18
0, 59, -126, 15
0, 59, -126, 15
0, 63, -126, 3
0, 59, -126, 15
0, 59, -126, 15
0, 61, -126, 9
0, 61, -126, 9
0, 60, -126, 12
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 60, -126, 12
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 60, -126, 12
0, 58, -125, 18
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 60, -126, 12
0, 58, -125, 18
0, 59, -126, 15
0, 58, -125, 18
0, 60, -126, 12
0, 62, -126, 6
0, 58, -125, 18
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 60, -126, 12
0, 59, -126, 15
0, 59, -126, 15
0, 60, -126, 12
0, 60, -126, 12
0, 57, -125, 21
0, 60, -126, 12
0, 60, -126, 12
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 60, -126, 12
0, 59, -126, 15
0, 60, -126, 12
0, 60, -126, 12
0, 59, -126, 15
0, 58, -125, 18
0, 60, -126, 12
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 58, -125, 18
0, 59, -126, 15
0, 59, -126, 15
0, 57, -125, 21
0, 59, -126, 15
0, 59, -126, 15
0, 60, -126, 12
0, 58, -125, 18
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 59, -126, 15
0, 61, -126, 9
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 59, -126, 15
0, 60, -126, 12
0, 59, -126, 15
0, 59, -126, 15
0, 57, -125, 21
0, 58, -125, 18
0, 59, -126, 15
0, 60, -126, 12
0, 59, -126, 15
0, 60, -126, 12
0, 60, -126, 12
0, 58, -125, 18
0, 58, -125, 18
0, 59, -126, 15
0, 57, -125, 21
0, 58, -125, 18
0, 62, -126, 6
0, 59, -126, 15
0, 57, -125, 21
0, 58, -125, 18
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 60, -126, 12
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 61, -126, 9
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 60, -126, 12
0, 57, -125, 21
0, 59, -126, 15
0, 59, -126, 15
0, 60, -126, 12
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 59, -126, 15
0, 60, -126, 12
0, 58, -125, 18
0, 61, -126, 9
0, 56, -124, 24
0, 59, -126, 15
0, 58, -125, 18
0, 58, -125, 18
0, 61, -126, 9
0, 58, -125, 18
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 60, -126, 12
0, 60, -126, 12
0, 58, -125, 18
0, 59, -126, 15
0, 58, -125, 18
0, 59, -126, 15
0, 60, -126, 12
0, 59, -126, 15
0, 58, -125, 18
0, 56, -124, 24
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 61, -126, 9
0, 58, -125, 18
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 58, -125, 18
0, 59, -126, 15
0, 59, -126, 15
0, 60, -126, 12
0, 60, -126, 12
0, 61, -126, 9
0, 59, -126, 15
0, 57, -125, 21
0, 60, -126, 12
0, 59, -126, 15
0, 60, -126, 12
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 60, -126, 12
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 61, -126, 9
0, 60, -126, 12
0, 57, -125, 21
0, 58, -125, 18
0, 58, -125, 18
0, 59, -126, 15
0, 62, -126, 6
0, 61, -126, 9
0, 60, -126, 12
0, 59, -126, 15
0, 59, -126, 15
0, 60, -126, 12
0, 61, -126, 9
0, 59, -126, 15
0, 59, -126, 15
0, 61, -126, 9
0, 58, -125, 18
0, 58, -125, 18
0, 61, -126, 9
0, 58, -125, 18
0, 59, -126, 15
0, 59, -126, 15
0, 60, -126, 12
0, 59, -126, 15
0, 59, -126, 15
0, 60, -126, 12
0, 60, -126, 12
0, 61, -126, 9
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 61, -126, 9
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 60, -126, 12
0, 60, -126, 12
0, 57, -125, 21
0, 60, -126, 12
0, 56, -124, 24
0, 60, -126, 12
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 62, -126, 6
0, 62, -126, 6
0, 59, -126, 15
0, 60, -126, 12
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 60, -126, 12
0, 59, -126, 15
0, 60, -126, 12
0, 59, -126, 15
0, 59, -126, 15
0, 60, -126, 12
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 57, -125, 21
0, 59, -126, 15
0, 59, -126, 15
0, 60, -126, 12
0, 59, -126, 15
0, 57, -125, 21
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 59, -126, 15
0, 61, -126, 9
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 57, -125, 21
0, 59, -126, 15
0, 58, -125, 18
0, 56, -124, 24
0, 59, -126, 15
0, 57, -125, 21
0, 58, -125, 18
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 57, -125, 21
0, 59, -126, 15
0, 57, -125, 21
0, 59, -126, 15
0, 59, -126, 15
0, 60, -126, 12
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 57, -125, 21
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 56, -124, 24
0, 60, -126, 12
0, 59, -126, 15
0, 61, -126, 9
0, 58, -125, 18
0, 59, -126, 15
0, 61, -126, 9
0, 60, -126, 12
0, 60, -126, 12
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 60, -126, 12
0, 59, -126, 15
0, 63, -126, 3
0, 59, -126, 15
0, 57, -125, 21
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 60, -126, 12
0, 59, -126, 15
0, 58, -125, 18
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 57, -125, 21
0, 61, -126, 9
0, 57, -125, 21
0, 59, -126, 15
0, 62, -126, 6
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 60, -126, 12
0, 59, -126, 15
0, 60, -126, 12
0, 59, -126, 15
0, 61, -126, 9
0, 60, -126, 12
0, 59, -126, 15
0, 59, -126, 15
0, 57, -125, 21
0, 59, -126, 15
0, 60, -126, 12
0, 59, -126, 15
0, 58, -125, 18
0, 60, -126, 12
0, 59, -126, 15
0, 59, -126, 15
0, 60, -126, 12
0, 60, -126, 12
0, 60, -126, 12
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 60, -126, 12
0, 60, -126, 12
0, 60, -126, 12
0, 58, -125, 18
0, 60, -126, 12
0, 62, -126, 6
0, 59, -126, 15
0, 60, -126, 12
0, 57, -125, 21
0, 59, -126, 15
0, 59, -126, 15
0, 60, -126, 12
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 57, -125, 21
0, 59, -126, 15
0, 58, -125, 18
0, 59, -126, 15
0, 58, -125, 18
0, 60, -126, 12
0, 59, -126, 15
0, 59, -126, 15
0, 60, -126, 12
0, 60, -126, 12
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 61, -126, 9
0, 60, -126, 12
0, 58, -125, 18
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 58, -125, 18
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 59, -126, 15
0, 58, -125, 18
0, 59, -126, 15
0, 60, -126, 12
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 60, -126, 12
0, 62, -126, 6
0, 57, -125, 21
0, 58, -125, 18
0, 60, -126, 12
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 59, -126, 15
0, 58, -125, 18
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 60, -126, 12
0, 59, -126, 15
0, 60, -126, 12
0, 57, -125, 21
0, 61, -126, 9
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 60, -126, 12
0, 56, -124, 24
0, 56, -124, 24
0, 59, -126, 15
0, 61, -126, 9
0, 59, -126, 15
0, 60, -126, 12
0, 58, -125, 18
0, 58, -125, 18
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 59, -126, 15
0, 58, -125, 18
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 59, -126, 15
0, 57, -125, 21
0, 59, -126, 15
0, 57, -125, 21
0, 59, -126, 15
0, 59, -126, 15
0, 61, -126, 9
0, 61, -126, 9
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 58, -125, 18
0, 59, -126, 15
0, 59, -126, 15
0, 60, -126, 12
0, 61, -126, 9
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 59, -126, 15
0, 60, -126, 12
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 59, -126, 15
0, 58, -125, 18
0, 58, -125, 18
0, 60, -126, 12
0, 61, -126, 9
0, 59, -126, 15
0, 60, -126, 12
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 58, -125, 18
0, 59, -126, 15
0, 56, -124, 24
0, 58, -125, 18
0, 59, -126, 15
0, 60, -126, 12
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 60, -126, 12
0, 59, -126, 15
0, 59, -126, 15
0, 56, -124, 24
0, 59, -126, 15
0, 58, -125, 18
0, 59, -126, 15
0, 59, -126, 15
0, 60, -126, 12
0, 61, -126, 9
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 61, -126, 9
0, 60, -126, 12
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 59, -126, 15
0, 59, -126, 15
0, 60, -126, 12
0, 59, -126, 15
0, 60, -126, 12
0, 58, -125, 18
0, 59, -126, 15
0, 60, -126, 12
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 62, -126, 6
0, 58, -125, 18
0, 58, -125, 18
0, 62, -126, 6
0, 58, -125, 18
0, 59, -126, 15
0, 58, -125, 18
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 59, -126, 15
0, 60, -126, 12
0, 57, -125, 21
0, 61, -126, 9
0, 60, -126, 12
0, 58, -125, 18
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 60, -126, 12
0, 60, -126, 12
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 60, -126, 12
0, 59, -126, 15
0, 62, -126, 6
0, 60, -126, 12
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 58, -125, 18
0, 58, -125, 18
0, 59, -126, 15
0, 60, -126, 12
0, 57, -125, 21
0, 59, -126, 15
0, 57, -125, 21
0, 60, -126, 12
0, 60, -126, 12
0, 58, -125, 18
0, 57, -125, 21
0, 58, -125, 18
0, 59, -126, 15
0, 59, -126, 15
0, 57, -125, 21
0, 58, -125, 18
0, 58, -125, 18
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 60, -126, 12
0, 60, -126, 12
0, 58, -125, 18
0, 58, -125, 18
0, 57, -125, 21
0, 58, -125, 18
0, 59, -126, 15
0, 61, -126, 9
0, 59, -126, 15
0, 58, -125, 18
0, 60, -126, 12
0, 59, -126, 15
0, 61, -126, 9
0, 59, -126, 15
0, 58, -125, 18
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 60, -126, 12
0, 60, -126, 12
0, 56, -124, 24
0, 55, -123, 27
0, 59, -126, 15
0, 59, -126, 15
0, 60, -126, 12
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 60, -126, 12
0, 61, -126, 9
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 60, -126, 12
0, 59, -126, 15
0, 57, -125, 21
0, 59, -126, 15
0, 57, -125, 21
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 61, -126, 9
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 57, -125, 21
0, 58, -125, 18
0, 56, -124, 24
0, 59, -126, 15
0, 56, -124, 24
0, 59, -126, 15
0, 60, -126, 12
0, 59, -126, 15
0, 56, -124, 24
0, 58, -125, 18
0, 59, -126, 15
0, 58, -125, 18
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 63, -126, 3
0, 61, -126, 9
0, 59, -126, 15
0, 60, -126, 12
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 57, -125, 21
0, 62, -126, 6
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 59, -126, 15
0, 59, -126, 15
0, 61, -126, 9
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 58, -125, 18
0, 59, -126, 15
0, 58, -125, 18
0, 57, -125, 21
0, 57, -125, 21
0, 58, -125, 18
0, 58, -125, 18
0, 58, -125, 18
0, 59, -126, 15
0, 59, -126, 15
0, 60, -126, 12
0, 58, -125, 18
0, 60, -126, 12
0, 59, -126, 15
0, 57, -125, 21
0, 59, -126, 15
0, 60, -126, 12
0, 58, -125, 18
0, 56, -124, 24
0, 58, -125, 18
0, 58, -125, 18
0, 59, -126, 15
0, 60, -126, 12
0, 59, -126, 15
0, 59, -126, 15
0, 60, -126, 12
0, 58, -125, 18
0, 60, -126, 12
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 59, -126, 15
0, 59, -126, 15
0, 60, -126, 12
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 58, -125, 18
0, 60, -126, 12
0, 59, -126, 15
0, 60, -126, 12
0, 58, -125, 18
0, 60, -126, 12
0, 59, -126, 15
0, 59, -126, 15
0, 58, -125, 18
0, 59, -126, 15
0, 59, -126, 15
0, 60, -126, 12
0, 59, -126, 15
0, 58, -125, 18
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
0, 59, -126, 15
